Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Parameter Value[instrument]	Parameter Value[acquisition_mode]	Parameter Value[pulse_sequence]	Performer	Raw Data File
GRP1_SBJ01_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S6-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S6-raw_spectral_data_file-R2
GRP1_SBJ01_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S6-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S6-raw_spectral_data_file-R1
GRP1_SBJ02_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S10-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S10-raw_spectral_data_file-R2
GRP1_SBJ02_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S10-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S10-raw_spectral_data_file-R1
GRP1_SBJ03_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S9-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S9-raw_spectral_data_file-R1
GRP1_SBJ03_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S9-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S9-raw_spectral_data_file-R2
GRP1_SBJ04_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S3-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S3-raw_spectral_data_file-R1
GRP1_SBJ04_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S3-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S3-raw_spectral_data_file-R2
GRP1_SBJ05_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S5-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S5-raw_spectral_data_file-R1
GRP1_SBJ05_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S5-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S5-raw_spectral_data_file-R2
GRP1_SBJ06_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S8-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S8-raw_spectral_data_file-R2
GRP1_SBJ06_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S8-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S8-raw_spectral_data_file-R1
GRP1_SBJ07_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S7-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S7-raw_spectral_data_file-R2
GRP1_SBJ07_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S7-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S7-raw_spectral_data_file-R1
GRP1_SBJ08_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S2-Extract-R2	supernatant	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S2-raw_spectral_data_file-R2
GRP1_SBJ08_st_cl1_SMP-muscle-1	extraction	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S2-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	ec07e5ae-e3e0-4b89-9f6a-582d8da5fb10-S2-raw_spectral_data_file-R1
