Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Performer	Labeled Extract Name	Label	Protocol REF	Parameter Value[instrument]	Parameter Value[injection_mode]	Parameter Value[acquisition_mode]	MS Assay Name	Performer	Raw Spectral Data File
GRP0_SBJ1_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S5-Extract-R1	polar fraction	labeling	Unknown	AT0-S5-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S5-mass-spectrometry-Acquisition-R1	Unknown	AT0-S5-raw-spectral-data-file-R1
GRP0_SBJ1_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S5-Extract-R1	polar fraction	labeling	Unknown	AT0-S5-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S5-mass-spectrometry-Acquisition-R3	Unknown	AT0-S5-raw-spectral-data-file-R3
GRP0_SBJ1_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S5-Extract-R1	polar fraction	labeling	Unknown	AT0-S5-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S5-mass-spectrometry-Acquisition-R2	Unknown	AT0-S5-raw-spectral-data-file-R2
GRP0_SBJ1_A0E0_SMP-saliva-1	extraction	Unknown	AT0-S5-Extract-R1	polar fraction	labeling	Unknown	AT0-S5-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S5-mass-spectrometry-Acquisition-R4	Unknown	AT0-S5-raw-spectral-data-file-R4
GRP0_SBJ1_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S10-Extract-R1	polar fraction	labeling	Unknown	AT0-S10-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S10-mass-spectrometry-Acquisition-R2	Unknown	AT0-S10-raw-spectral-data-file-R2
GRP0_SBJ1_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S10-Extract-R1	polar fraction	labeling	Unknown	AT0-S10-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S10-mass-spectrometry-Acquisition-R3	Unknown	AT0-S10-raw-spectral-data-file-R3
GRP0_SBJ1_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S10-Extract-R1	polar fraction	labeling	Unknown	AT0-S10-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S10-mass-spectrometry-Acquisition-R4	Unknown	AT0-S10-raw-spectral-data-file-R4
GRP0_SBJ1_A0E2_SMP-saliva-1	extraction	Unknown	AT0-S10-Extract-R1	polar fraction	labeling	Unknown	AT0-S10-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S10-mass-spectrometry-Acquisition-R1	Unknown	AT0-S10-raw-spectral-data-file-R1
GRP0_SBJ1_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S15-Extract-R1	polar fraction	labeling	Unknown	AT0-S15-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S15-mass-spectrometry-Acquisition-R1	Unknown	AT0-S15-raw-spectral-data-file-R1
GRP0_SBJ1_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S15-Extract-R1	polar fraction	labeling	Unknown	AT0-S15-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S15-mass-spectrometry-Acquisition-R3	Unknown	AT0-S15-raw-spectral-data-file-R3
GRP0_SBJ1_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S15-Extract-R1	polar fraction	labeling	Unknown	AT0-S15-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	positive mode	AT0-S15-mass-spectrometry-Acquisition-R4	Unknown	AT0-S15-raw-spectral-data-file-R4
GRP0_SBJ1_A0E4_SMP-saliva-1	extraction	Unknown	AT0-S15-Extract-R1	polar fraction	labeling	Unknown	AT0-S15-LE-R1	biotin	mass spectrometry	Agilent QTQF 6510	LC	negative mode	AT0-S15-mass-spectrometry-Acquisition-R2	Unknown	AT0-S15-raw-spectral-data-file-R2
