Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Parameter Value[sequencing instrument]	Assay Name	Performer	Raw Data File
GRP0_SBJ1_A0E0_SMP-saliva-1	extraction	Unknown	AT16-S5-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S5-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S5-raw_data_file-R1
GRP0_SBJ1_A0E2_SMP-saliva-1	extraction	Unknown	AT16-S10-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S10-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S10-raw_data_file-R1
GRP0_SBJ1_A0E4_SMP-saliva-1	extraction	Unknown	AT16-S15-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S15-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S15-raw_data_file-R1
GRP0_SBJ1_A0E5_SMP-blood-1	extraction	Unknown	AT16-S20-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S20-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S20-raw_data_file-R1
GRP0_SBJ1_A0E5_SMP-saliva-1	extraction	Unknown	AT16-S25-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S25-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S25-raw_data_file-R1
GRP0_SBJ2_A0E0_SMP-saliva-1	extraction	Unknown	AT16-S2-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S2-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S2-raw_data_file-R1
GRP0_SBJ2_A0E2_SMP-saliva-1	extraction	Unknown	AT16-S7-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S7-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S7-raw_data_file-R1
GRP0_SBJ2_A0E4_SMP-saliva-1	extraction	Unknown	AT16-S12-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S12-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S12-raw_data_file-R1
GRP0_SBJ2_A0E5_SMP-blood-1	extraction	Unknown	AT16-S17-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S17-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S17-raw_data_file-R1
GRP0_SBJ2_A0E5_SMP-saliva-1	extraction	Unknown	AT16-S22-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S22-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S22-raw_data_file-R1
GRP0_SBJ3_A0E0_SMP-saliva-1	extraction	Unknown	AT16-S3-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S3-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S3-raw_data_file-R1
GRP0_SBJ3_A0E2_SMP-saliva-1	extraction	Unknown	AT16-S8-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S8-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S8-raw_data_file-R1
GRP0_SBJ3_A0E4_SMP-saliva-1	extraction	Unknown	AT16-S13-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S13-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S13-raw_data_file-R1
GRP0_SBJ3_A0E5_SMP-blood-1	extraction	Unknown	AT16-S18-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S18-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S18-raw_data_file-R1
GRP0_SBJ3_A0E5_SMP-saliva-1	extraction	Unknown	AT16-S23-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S23-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S23-raw_data_file-R1
GRP0_SBJ4_A0E0_SMP-saliva-1	extraction	Unknown	AT16-S1-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S1-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S1-raw_data_file-R1
GRP0_SBJ4_A0E2_SMP-saliva-1	extraction	Unknown	AT16-S6-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S6-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S6-raw_data_file-R1
GRP0_SBJ4_A0E4_SMP-saliva-1	extraction	Unknown	AT16-S11-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S11-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S11-raw_data_file-R1
GRP0_SBJ4_A0E5_SMP-blood-1	extraction	Unknown	AT16-S16-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S16-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S16-raw_data_file-R1
GRP0_SBJ4_A0E5_SMP-saliva-1	extraction	Unknown	AT16-S21-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S21-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S21-raw_data_file-R1
GRP0_SBJ5_A0E0_SMP-saliva-1	extraction	Unknown	AT16-S4-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S4-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S4-raw_data_file-R1
GRP0_SBJ5_A0E2_SMP-saliva-1	extraction	Unknown	AT16-S9-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S9-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S9-raw_data_file-R1
GRP0_SBJ5_A0E4_SMP-saliva-1	extraction	Unknown	AT16-S14-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S14-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S14-raw_data_file-R1
GRP0_SBJ5_A0E5_SMP-blood-1	extraction	Unknown	AT16-S19-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S19-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S19-raw_data_file-R1
GRP0_SBJ5_A0E5_SMP-saliva-1	extraction	Unknown	AT16-S24-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S24-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S24-raw_data_file-R1
GRP2_SBJ1_A1E0_SMP-saliva-1	extraction	Unknown	AT16-S27-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S27-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S27-raw_data_file-R1
GRP2_SBJ1_A1E2_SMP-saliva-1	extraction	Unknown	AT16-S32-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S32-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S32-raw_data_file-R1
GRP2_SBJ1_A1E4_SMP-saliva-1	extraction	Unknown	AT16-S37-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S37-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S37-raw_data_file-R1
GRP2_SBJ1_A1E5_SMP-blood-1	extraction	Unknown	AT16-S42-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S42-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S42-raw_data_file-R1
GRP2_SBJ1_A1E5_SMP-saliva-1	extraction	Unknown	AT16-S47-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S47-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S47-raw_data_file-R1
GRP2_SBJ2_A1E0_SMP-saliva-1	extraction	Unknown	AT16-S29-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S29-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S29-raw_data_file-R1
GRP2_SBJ2_A1E2_SMP-saliva-1	extraction	Unknown	AT16-S34-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S34-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S34-raw_data_file-R1
GRP2_SBJ2_A1E4_SMP-saliva-1	extraction	Unknown	AT16-S39-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S39-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S39-raw_data_file-R1
GRP2_SBJ2_A1E5_SMP-blood-1	extraction	Unknown	AT16-S44-Extract-R1	GENOMIC	nucleic acid sequencing	Illumina Genome Analyzer	AT16-S44-nucleic-acid-sequencing-Acquisition-R1	Unknown	AT16-S44-raw_data_file-R1
