Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Term Accession Number	Protocol REF	Performer
GRP0_SBJ1_A0E0_SMP-saliva-1	extraction	Unknown	AT1-S5-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ1_A0E2_SMP-saliva-1	extraction	Unknown	AT1-S10-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ1_A0E4_SMP-saliva-1	extraction	Unknown	AT1-S15-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ1_A0E5_SMP-blood-1	extraction	Unknown	AT1-S20-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ1_A0E5_SMP-saliva-1	extraction	Unknown	AT1-S25-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ2_A0E0_SMP-saliva-1	extraction	Unknown	AT1-S2-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ2_A0E2_SMP-saliva-1	extraction	Unknown	AT1-S7-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ2_A0E4_SMP-saliva-1	extraction	Unknown	AT1-S12-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ2_A0E5_SMP-blood-1	extraction	Unknown	AT1-S17-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ2_A0E5_SMP-saliva-1	extraction	Unknown	AT1-S22-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ3_A0E0_SMP-saliva-1	extraction	Unknown	AT1-S3-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ3_A0E2_SMP-saliva-1	extraction	Unknown	AT1-S8-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ3_A0E4_SMP-saliva-1	extraction	Unknown	AT1-S13-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ3_A0E5_SMP-blood-1	extraction	Unknown	AT1-S18-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ3_A0E5_SMP-saliva-1	extraction	Unknown	AT1-S23-Extract-R1	polar fraction	polar fraction	labeling	Unknown
GRP0_SBJ4_A0E0_SMP-saliva-1	extraction	Unknown	AT1-S1-Extract-R1	polar fraction	polar fraction	labeling	Unknown
