Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Parameter Value[instrument]	Parameter Value[acquisition_mode]	Parameter Value[pulse_sequence]	Performer	Free Induction Decay Data File
GRP0_SBJ1_A0E0_SMP-saliva-1	extraction	Unknown	AT2-S5-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S5-raw_spectral_data_file-R1
GRP0_SBJ1_A0E2_SMP-saliva-1	extraction	Unknown	AT2-S10-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S10-raw_spectral_data_file-R1
GRP0_SBJ1_A0E4_SMP-saliva-1	extraction	Unknown	AT2-S15-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S15-raw_spectral_data_file-R1
GRP0_SBJ1_A0E5_SMP-blood-1	extraction	Unknown	AT2-S20-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S20-raw_spectral_data_file-R1
GRP0_SBJ1_A0E5_SMP-saliva-1	extraction	Unknown	AT2-S25-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S25-raw_spectral_data_file-R1
GRP0_SBJ2_A0E0_SMP-saliva-1	extraction	Unknown	AT2-S2-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S2-raw_spectral_data_file-R1
GRP0_SBJ2_A0E2_SMP-saliva-1	extraction	Unknown	AT2-S7-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S7-raw_spectral_data_file-R1
GRP0_SBJ2_A0E4_SMP-saliva-1	extraction	Unknown	AT2-S12-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S12-raw_spectral_data_file-R1
GRP0_SBJ2_A0E5_SMP-blood-1	extraction	Unknown	AT2-S17-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S17-raw_spectral_data_file-R1
GRP0_SBJ2_A0E5_SMP-saliva-1	extraction	Unknown	AT2-S22-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S22-raw_spectral_data_file-R1
GRP0_SBJ3_A0E0_SMP-saliva-1	extraction	Unknown	AT2-S3-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S3-raw_spectral_data_file-R1
GRP0_SBJ3_A0E2_SMP-saliva-1	extraction	Unknown	AT2-S8-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S8-raw_spectral_data_file-R1
GRP0_SBJ3_A0E4_SMP-saliva-1	extraction	Unknown	AT2-S13-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S13-raw_spectral_data_file-R1
GRP0_SBJ3_A0E5_SMP-blood-1	extraction	Unknown	AT2-S18-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S18-raw_spectral_data_file-R1
GRP0_SBJ3_A0E5_SMP-saliva-1	extraction	Unknown	AT2-S23-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S23-raw_spectral_data_file-R1
GRP0_SBJ4_A0E0_SMP-saliva-1	extraction	Unknown	AT2-S1-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S1-raw_spectral_data_file-R1
GRP0_SBJ4_A0E2_SMP-saliva-1	extraction	Unknown	AT2-S6-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S6-raw_spectral_data_file-R1
GRP0_SBJ4_A0E4_SMP-saliva-1	extraction	Unknown	AT2-S11-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S11-raw_spectral_data_file-R1
GRP0_SBJ4_A0E5_SMP-blood-1	extraction	Unknown	AT2-S16-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S16-raw_spectral_data_file-R1
GRP0_SBJ4_A0E5_SMP-saliva-1	extraction	Unknown	AT2-S21-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S21-raw_spectral_data_file-R1
GRP0_SBJ5_A0E0_SMP-saliva-1	extraction	Unknown	AT2-S4-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S4-raw_spectral_data_file-R1
GRP0_SBJ5_A0E2_SMP-saliva-1	extraction	Unknown	AT2-S9-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S9-raw_spectral_data_file-R1
GRP0_SBJ5_A0E4_SMP-saliva-1	extraction	Unknown	AT2-S14-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S14-raw_spectral_data_file-R1
GRP0_SBJ5_A0E5_SMP-blood-1	extraction	Unknown	AT2-S19-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S19-raw_spectral_data_file-R1
GRP0_SBJ5_A0E5_SMP-saliva-1	extraction	Unknown	AT2-S24-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S24-raw_spectral_data_file-R1
GRP2_SBJ1_A1E0_SMP-saliva-1	extraction	Unknown	AT2-S27-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S27-raw_spectral_data_file-R1
GRP2_SBJ1_A1E2_SMP-saliva-1	extraction	Unknown	AT2-S32-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S32-raw_spectral_data_file-R1
GRP2_SBJ1_A1E4_SMP-saliva-1	extraction	Unknown	AT2-S37-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S37-raw_spectral_data_file-R1
GRP2_SBJ1_A1E5_SMP-blood-1	extraction	Unknown	AT2-S42-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S42-raw_spectral_data_file-R1
GRP2_SBJ1_A1E5_SMP-saliva-1	extraction	Unknown	AT2-S47-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S47-raw_spectral_data_file-R1
GRP2_SBJ2_A1E0_SMP-saliva-1	extraction	Unknown	AT2-S29-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S29-raw_spectral_data_file-R1
GRP2_SBJ2_A1E2_SMP-saliva-1	extraction	Unknown	AT2-S34-Extract-R1	pellet	nmr_spectroscopy	Bruker AvanceII 1 GHz	1D 13C NMR	CPMG	Unknown	AT2-S34-raw_spectral_data_file-R1
