Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Parameter Value[instrument]	Parameter Value[pulse_sequence]	Parameter Value[acquisition_mode]	Performer	Raw Data File
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_9-30
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_9-17
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_9-7
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_9-20
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_9-5
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	1D 13C NMR	Ellipsis	raw spectral data file_9-3
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-18	supernatant	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	1D 13C NMR	Ellipsis	raw spectral data file_9-34
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_9-13
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	CPMG	2D 13C-13C NMR	Ellipsis	raw spectral data file_9-11
GRP-control.SBJ-001.CEL-CELL_control_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_9-1	pellet	nmr spectroscopy	Bruker AvanceII 1 GHz	watergate	2D 13C-13C NMR	Ellipsis	raw spectral data file_9-9
