Sample Name	Protocol REF	Performer	Extract Name	Characteristics[extract type]	Protocol REF	Performer	Labeled Extract Name	Protocol REF	Parameter Value[instrument]	Parameter Value[injection_mode]	Parameter Value[acquisition_mode]	MS Assay Name	Performer	Raw Data File	Raw Data File
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	polar fraction	labelling	Ellipsis	labelled extract_12-17	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_12-27	Ellipsis	raw spectral data file_12-29	raw spectral data file_12-29
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-30	lipids	labelling	Ellipsis	labelled extract_12-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_12-33	Ellipsis	raw spectral data file_12-35	raw spectral data file_12-35
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-30	lipids	labelling	Ellipsis	labelled extract_12-46	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_12-47	Ellipsis	raw spectral data file_12-49	raw spectral data file_12-49
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	polar fraction	labelling	Ellipsis	labelled extract_12-3	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_12-10	Ellipsis	raw spectral data file_12-12	raw spectral data file_12-12
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-30	lipids	labelling	Ellipsis	labelled extract_12-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_12-53	Ellipsis	raw spectral data file_12-55	raw spectral data file_12-55
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	polar fraction	labelling	Ellipsis	labelled extract_12-3	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_12-7	Ellipsis	raw spectral data file_12-9	raw spectral data file_12-9
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-30	lipids	labelling	Ellipsis	labelled extract_12-46	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_12-56	Ellipsis	raw spectral data file_12-58	raw spectral data file_12-58
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-30	lipids	labelling	Ellipsis	labelled extract_12-32	mass spectrometry	Agilent QTQF 6510	FIA	positive mode	mass spectrometry_12-42	Ellipsis	raw spectral data file_12-44	raw spectral data file_12-44
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-30	lipids	labelling	Ellipsis	labelled extract_12-32	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_12-36	Ellipsis	raw spectral data file_12-38	raw spectral data file_12-38
GRP-treatment.SBJ-001.CEL-CELL_treatment_3.SMP-.blood_sample.1	extraction	Ellipsis	extract_12-1	polar fraction	labelling	Ellipsis	labelled extract_12-17	mass spectrometry	Agilent QTQF 6510	LC	positive mode	mass spectrometry_12-18	Ellipsis	raw spectral data file_12-20	raw spectral data file_12-20
