Source Name	Characteristics[human]	Protocol REF	Parameter Value[run order]	Parameter Value[study cell]	Date	Performer	Sample Name	Characteristics[organism part]
GRP-Arm_0.SBJ-001	human	sample collection	051	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-001.CEL-CELL_Arm_0_5.SMP-.saliva.2	saliva
GRP-Arm_0.SBJ-001	human	sample collection	052	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-001.CEL-CELL_Arm_0_5.SMP-.saliva.3	saliva
GRP-Arm_0.SBJ-001	human	sample collection	014	CELL_Arm_0_2	2020-08-21	Bob	GRP-Arm_0.SBJ-001.CEL-CELL_Arm_0_2.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-001	human	sample collection	050	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-001.CEL-CELL_Arm_0_5.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-001	human	sample collection	024	CELL_Arm_0_4	2020-08-21	Bob	GRP-Arm_0.SBJ-001.CEL-CELL_Arm_0_4.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-001	human	sample collection	004	CELL_Arm_0_0	2020-08-21	Bob	GRP-Arm_0.SBJ-001.CEL-CELL_Arm_0_0.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-001	human	sample collection	034	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-001.CEL-CELL_Arm_0_5.SMP-.blood.1	blood
GRP-Arm_0.SBJ-002	human	sample collection	017	CELL_Arm_0_2	2020-08-21	Bob	GRP-Arm_0.SBJ-002.CEL-CELL_Arm_0_2.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-002	human	sample collection	059	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-002.CEL-CELL_Arm_0_5.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-002	human	sample collection	027	CELL_Arm_0_4	2020-08-21	Bob	GRP-Arm_0.SBJ-002.CEL-CELL_Arm_0_4.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-002	human	sample collection	061	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-002.CEL-CELL_Arm_0_5.SMP-.saliva.3	saliva
GRP-Arm_0.SBJ-002	human	sample collection	060	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-002.CEL-CELL_Arm_0_5.SMP-.saliva.2	saliva
GRP-Arm_0.SBJ-002	human	sample collection	037	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-002.CEL-CELL_Arm_0_5.SMP-.blood.1	blood
GRP-Arm_0.SBJ-002	human	sample collection	007	CELL_Arm_0_0	2020-08-21	Bob	GRP-Arm_0.SBJ-002.CEL-CELL_Arm_0_0.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-003	human	sample collection	063	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-003.CEL-CELL_Arm_0_5.SMP-.saliva.2	saliva
GRP-Arm_0.SBJ-003	human	sample collection	064	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-003.CEL-CELL_Arm_0_5.SMP-.saliva.3	saliva
GRP-Arm_0.SBJ-003	human	sample collection	038	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-003.CEL-CELL_Arm_0_5.SMP-.blood.1	blood
GRP-Arm_0.SBJ-003	human	sample collection	018	CELL_Arm_0_2	2020-08-21	Bob	GRP-Arm_0.SBJ-003.CEL-CELL_Arm_0_2.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-003	human	sample collection	062	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-003.CEL-CELL_Arm_0_5.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-003	human	sample collection	008	CELL_Arm_0_0	2020-08-21	Bob	GRP-Arm_0.SBJ-003.CEL-CELL_Arm_0_0.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-003	human	sample collection	028	CELL_Arm_0_4	2020-08-21	Bob	GRP-Arm_0.SBJ-003.CEL-CELL_Arm_0_4.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-004	human	sample collection	023	CELL_Arm_0_4	2020-08-21	Bob	GRP-Arm_0.SBJ-004.CEL-CELL_Arm_0_4.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-004	human	sample collection	033	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-004.CEL-CELL_Arm_0_5.SMP-.blood.1	blood
GRP-Arm_0.SBJ-004	human	sample collection	048	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-004.CEL-CELL_Arm_0_5.SMP-.saliva.2	saliva
GRP-Arm_0.SBJ-004	human	sample collection	003	CELL_Arm_0_0	2020-08-21	Bob	GRP-Arm_0.SBJ-004.CEL-CELL_Arm_0_0.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-004	human	sample collection	047	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-004.CEL-CELL_Arm_0_5.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-004	human	sample collection	049	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-004.CEL-CELL_Arm_0_5.SMP-.saliva.3	saliva
GRP-Arm_0.SBJ-004	human	sample collection	013	CELL_Arm_0_2	2020-08-21	Bob	GRP-Arm_0.SBJ-004.CEL-CELL_Arm_0_2.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-005	human	sample collection	056	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-005.CEL-CELL_Arm_0_5.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-005	human	sample collection	058	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-005.CEL-CELL_Arm_0_5.SMP-.saliva.3	saliva
GRP-Arm_0.SBJ-005	human	sample collection	026	CELL_Arm_0_4	2020-08-21	Bob	GRP-Arm_0.SBJ-005.CEL-CELL_Arm_0_4.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-005	human	sample collection	057	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-005.CEL-CELL_Arm_0_5.SMP-.saliva.2	saliva
GRP-Arm_0.SBJ-005	human	sample collection	016	CELL_Arm_0_2	2020-08-21	Bob	GRP-Arm_0.SBJ-005.CEL-CELL_Arm_0_2.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-005	human	sample collection	036	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-005.CEL-CELL_Arm_0_5.SMP-.blood.1	blood
GRP-Arm_0.SBJ-005	human	sample collection	006	CELL_Arm_0_0	2020-08-21	Bob	GRP-Arm_0.SBJ-005.CEL-CELL_Arm_0_0.SMP-.saliva.1	saliva
GRP-Arm_0.SBJ-006	human	sample collection	070	CELL_Arm_0_5	2020-08-21	Bob	GRP-Arm_0.SBJ-006.CEL-CELL_Arm_0_5.SMP-.saliva.3	saliva
