"Source Name"	"Characteristics[barcode identifier]"	"Characteristics[material role]"	"Characteristics[chemical compound]"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Date"	"Sample Name"	"Material Type"	
"102925_M5"	"1024506691"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102925_M5"	"specimen"
"102913_S2"	"1024506570"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102913_S2"	"specimen"
"p180-UHPLC Cal3"	"437328"	"positive control"	"calibrators"	"not applicable"			"not applicable"			"sample collection"	"2012-10-16"	"p180-UHPLC Cal3"	"positive control"
"102905_J3"	"1024506497"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102905_J3"	"specimen"
"BLANK"	"10000001"	"negative control"	"no sample to pipette"	"not applicable"			"not applicable"			"sample collection"	""	"BLANK"	"negative control"
"102909_J7"	"1024506531"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102909_J7"	"specimen"
"102933_N4"	"1024506773"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102933_N4"	"specimen"
"102921_M1"	"1024506652"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102921_M1"	"specimen"
"102939_TD000232_1"	"1024506856"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"serum"	"UBERON"	"http://purl.obolibrary.org/obo/UBERON_0001977"	"sample collection"	""	"102939_TD000232_1"	"specimen"
"102917_S6"	"1024506614"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102917_S6"	"specimen"
"102929_M9"	"1024506735"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102929_M9"	"specimen"
"102908_J6"	"1024506527"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102908_J6"	"specimen"
"102932_N3"	"1024506769"	"specimen"	"not applicable"	"Homo sapiens"	"NCBITax"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"extract"	"OBI"	"http://purl.obolibrary.org/obo/OBI_0000423"	"sample collection"	""	"102932_N3"	"specimen"
